"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"","","","","","","","","","","","","","","","Rotten Tomatoes","72%","","","","","","","","","","","",""
"77","Congo","1995","PG-13","09 Jun 1995","109 min","Action, Adventure, Mystery, Sci-Fi","Frank Marshall","Michael Crichton (novel), John Patrick Shanley (screenplay)","Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry","When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.","English, American Sign Language","USA","2 wins & 11 nominations.","https://m.media-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.3/10","22","5.3","41,622","tt0112715","movie","N/A","N/A","Paramount Pictures, Paramount Pictures International, Kennedy/Marshall","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","22%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","22/100","","","","","","","","","","","",""
"78","Jingle All the Way","1996","PG","22 Nov 1996","89 min","Adventure, Comedy, Family","Brian Levant","Randy Kornfield","Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson","A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out of them, and he must travel all over town and compete with everybody else in order to find one.","English","USA","2 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMmJlYzViNzctMjQ1Ni00ZWQ4LThkN2YtMzI2ZGU5Nzk0NTAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.6/10","34","5.6","89,610","tt0116705","movie","N/A","N/A","1492 Pictures, 20th Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","15%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","34/100","","","","","","","","","","","",""
"79","The Killing","1956","Approved","06 Jun 1956","84 min","Crime, Drama, Film-Noir, Thriller","Stanley Kubrick","Stanley Kubrick (screenplay by), Jim Thompson (dialogue by), Lionel White (based on the novel ""Clean Break"" by)","Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen","Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMDE5ZjAwY2YtOWM5Yi00ZWNlLWE5ODQtYjA4NzA1NGFkZDU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","8.0/10","91","8.0","80,075","tt0049406","movie","N/A","N/A","Harris-Kubrick Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","98%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","91/100","","","","","","","","","","","",""
"80","Winter Kills","1979","R","11 May 1979","97 min","Comedy, Drama, Mystery, Thriller","William Richert","Richard Condon (book), William Richert (written for the screen)","Jeff Bridges, John Huston, Anthony Perkins, Eli Wallach","The Pickering Commission concluded that a lone gunman killed U.S. President Timothy Kegan (John Warner) in 1960, in Philadelphia, Pennsylvania. Nineteen years later a dying man confesses to be the real shooter hired to kill him. Kegan's brother and filthy rich father investigate.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BODc4Y2E2MjQtYTI1My00OGU3LTlkOWYtZGQ2ZTE0YzIxMWE0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg","Internet Movie Database","6.1/10","N/A","6.1","2,237","tt0080139","movie","N/A","N/A","Winter Gold Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","88%","","","","","","","","","","","",""
"82","The Frogmen","1951","Approved","N/A","96 min","Adventure, Drama, War","Lloyd Bacon","John Tucker Battle (screenplay), Oscar Millard (story)","Richard Widmark, Dana Andrews, Gary Merrill, Jeffrey Hunter","The new commander of a Navy Underwater Demolition Team--nicknamed ""Frogmen""--must earn the respect of the men in his unit, who are still grieving over the death of their former commander and resentful of the new one.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNTEzZDcyNmQtOTM1NS00MjQ5LTliNjgtN2M3YWRlZDAxZGFlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg","Internet Movie Database","6.6/10","N/A","6.6","989","tt0043565","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","56%","","","","","","","","","","","",""
"83","Silkwood","1983","R","27 Jan 1984","131 min","Biography, Drama, History, Thriller","Mike Nichols","Nora Ephron, Alice Arlen","Meryl Streep, Kurt Russell, Cher, Craig T. Nelson","A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.","English","USA","Nominated for 5 Oscars. Another 2 wins & 13 nominations.","https://m.media-amazon.com/images/M/MV5BMGQ0N2U0YzMtNWIxYi00NWVhLWI3OTYtNTE5YjU0YTQwMGYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","64","7.2","17,912","tt0086312","movie","N/A","N/A","ABC Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","74%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","64/100","","","","","","","","","","","",""
"84","The Powerpuff Girls Movie","2002","PG","03 Jul 2002","73 min","Animation, Action, Adventure, Comedy, Family, Sci-Fi","Craig McCracken","Charlie Bean, Lauren Faust, Craig McCracken, Paul Rudish, Don Shank, Charlie Bean (story), Craig McCracken (story), Amy Keating Rogers (story), Paul Rudish (story), Don Shank (story), Lauren Faust (story), Craig McCracken (creator)","Cathy Cavadini, Tara Strong, Elizabeth Daily, Roger Jackson","The movie shows the origin of the Powerpuff Girls before the cartoon series. It explains why they were born and why they dedicated their lives to fighting crime and the forces of evil.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjE4NTY0NjQ5OF5BMl5BanBnXkFtZTYwMTE3NTY3._V1_SX300.jpg","Internet Movie Database","6.6/10","65","6.6","9,131","tt0289408","movie","N/A","N/A","Warner Brothers, Cartoon Network","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","63%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","65/100","","","","","","","","","","","",""
"86","Iron Monkey 2","1996","R","01 Jan 2012","92 min","Action","Lu Chiang Chao, Lan Jing","Man Choi Lee, Daoyuan Qian","Donnie Yen, Billy Chow, Wu Ma, Steve Benson","Donnie Yen fights a deadly assassin named Tiger Yu and teaming a band of insurrectionists battling a malevolent gang of weapons smugglers.","Mandarin, Cantonese","Hong Kong, Taiwan, China","N/A","https://m.media-amazon.com/images/M/MV5BZjY4YWU0OWMtNjZhMC00OGM5LTkwZmUtYTRiODY4NmU0YjIyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg","Internet Movie Database","4.6/10","N/A","4.6","662","tt0172610","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","41%","","","","","","","","","","","",""
"89","Chain of Command","2000","R","22 Jul 2000","96 min","Action, Adventure, Thriller","John Terlesky","T.L. Lankford","Roy Scheider, Patrick Muldoon, Maria Conchita Alonso, Michael Biehn","Secret Service agents must retrieve the briefcase allowing the President control of America's nuclear arsenal before massive destruction ensues.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYzMyZmY1YmEtNGNiYi00NjJhLWE1ZmQtYjcyYWI4ZjkwYzI2XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg","Internet Movie Database","4.6/10","N/A","4.6","792","tt0207377","movie","N/A","N/A","CineTel Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","30%","","","","","","","","","","","",""
"90","The Lemon Drop Kid","1951","Approved","02 Apr 1951","91 min","Comedy, Crime, Music, Romance","Sidney Lanfield, Frank Tashlin","Edmund Beloin (story), Irving Elinson (additional dialogue), Edmund L. Hartmann, Robert O'Brien, Damon Runyon (story), Frank Tashlin","Bob Hope, Marilyn Maxwell, Lloyd Nolan, Jane Darwell","A New York City swindler has until Christmas to come up with the $10,000 he owes a gangster, prompting him to go into scamming overdrive.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BOWI0MDljNjAtMDc0MS00MDI0LWI5M2YtNjQ5Yjc5NTYyZWIxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","1,602","tt0043733","movie","N/A","N/A","Paramount","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","74%","","","","","","","","","","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"93","They Came Back","2004","Not Rated","27 Oct 2004","102 min","Drama, Fantasy","Robin Campillo","Robin Campillo, Brigitte Tijou","Géraldine Pailhas, Jonathan Zaccaï, Frédéric Pierrot, Victor Garrivier","The lives of the residents of a small French town are changed when thousands of the recently dead inexplicably come back to life and try to integrate themselves into society that has changed for them.","French","France","2 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BNDZkZmQwNmUtOGE1OC00M2Y2LTkzNzktNTA2ZjFiMjIwMzAxXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg","Internet Movie Database","5.9/10","N/A","5.9","2,719","tt0378661","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","78%","","","","","","","","","","","",""
"95","Dona Herlinda and Her Son","1985","UNRATED","04 Apr 1986","90 min","Comedy, Drama, Romance","Jaime Humberto Hermosillo","Jaime Humberto Hermosillo, Jorge López Páez (novel)","Arturo Meza, Marco Treviño, Guadalupe Del Toro, Letícia Lupercio","Rodolfo (Trevino) is a young bachelor doctor who has a love affair with a younger music student, Ramon (Meza). When Rodolfo's mother begins to urge his son to get married, he quickly asks ...","Spanish","Mexico","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTI4MTc0ODk0OV5BMl5BanBnXkFtZTcwNjA1OTIzMQ@@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","388","tt0089048","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","54%","","","","","","","","","","","",""
"96","Inside the Space Station","2000","N/A","10 Dec 2000","N/A","Documentary","Pierre de Lespinois","Stephen Jay Schwartz","Liam Neeson","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTg1ODk0MjkxNF5BMl5BanBnXkFtZTcwOTU1OTAzMQ@@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","66","tt0271008","movie","12 Dec 2000","N/A","N/A","N/A","True","",""
"99","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"102","Notre musique","2004","N/A","19 May 2004","80 min","Drama","Jean-Luc Godard","Jean-Luc Godard","Sarah Adler, Nade Dieu, Rony Kramer, Simon Eine","An indictment of modern times divided into three ""kingdoms"": ""Enfer"" (""Hell""), ""Purgatoire"" (""Purgatory"") and ""Paradis"" (""Paradise"").","French, Arabic, English, Hebrew, Serbo-Croatian, Spanish","France, Switzerland","1 win & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMTkxNTk0MzMwMF5BMl5BanBnXkFtZTcwNDI0NDcyMQ@@._V1_SX300.jpg","Internet Movie Database","6.9/10","77","6.9","2,738","tt0360845","movie","N/A","N/A","Les Films Alain Sarde, Avventura Films, France 3 Cinéma","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","70%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","77/100","","","","","","","","","","","",""
"104","The Great Race","1965","Passed","17 Dec 1965","160 min","Action, Adventure, Comedy, Family, Romance, Sport, Western","Blake Edwards","Arthur A. Ross (screenplay), Blake Edwards (original story), Arthur A. Ross (original story)","Jack Lemmon, Tony Curtis, Natalie Wood, Peter Falk","In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.","English","USA","Won 1 Oscar. Another 2 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BMjg5MDU1ZjUtZjQ2ZS00MTg2LTljMzEtMjVjNDgzNjI5MmQ5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","7.2/10","71","7.2","15,797","tt0059243","movie","N/A","N/A","Warner Brothers/Seven Arts","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","74%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","71/100","","","","","","","","","","","",""
"105","Obsessed","2002","TV-PG","22 Sep 2002","90 min","Drama, Mystery, Thriller","John Badham","Matthew Tabak","Jenna Elfman, Kate Burton, Lisa Edelstein, Jane Wheeler","Based on a factual case involving Diane Schaefer and Dr. Murray Brennan, a woman's claims of having had a relationship with a prominent doctor are completely denied by him.","English","Canada, USA","N/A","https://m.media-amazon.com/images/M/MV5BNWY4NjNkNjgtMmYzYS00MjY1LWEyMzctNTUwOTg3ZDEwZjRmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg","Internet Movie Database","5.6/10","N/A","5.6","799","tt0325322","movie","N/A","N/A","Lifetime Television, Viacom Productions, Robert Greenwald Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","39%","","","","","","","","","","","",""
"108","Spartan","2004","R","12 Mar 2004","106 min","Action, Crime, Drama, Mystery, Thriller","David Mamet","David Mamet","Tia Texada, Derek Luke, Val Kilmer, Jeremie Campbell","The investigation into a kidnapping of the daughter of a high-ranking US government official.","English, Russian, Swedish","Germany, USA","N/A","https://m.media-amazon.com/images/M/MV5BMTI2NzcyMzIzM15BMl5BanBnXkFtZTYwNDU3NTQ3._V1_SX300.jpg","Internet Movie Database","6.5/10","60","6.5","28,995","tt0360009","movie","N/A","N/A","Franchise Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","65%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","60/100","","","","","","","","","","","",""
"110","Scandal","1989","R","28 Apr 1989","106 min","Drama, History","Michael Caton-Jones","Michael Thomas","John Hurt, Joanne Whalley, Bridget Fonda, Ian McKellen","Based on the Profumo Scandal of 1963, an affair between an exotic dancer and the Minister of War shakes up the British government.","Polish, English","UK","Nominated for 1 Golden Globe. Another 1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BZmVmYzQ3NzQtNmI1Ny00ZjhkLWI3OTgtYjUwM2FmY2U1ZjQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","4,616","tt0098260","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"112","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"113","Bruce Lee: A Warrior's Journey","2000","PG","08 Oct 2001","100 min","Documentary, Action, Biography","John Little, Bruce Lee","Bruce Lee (material), John Little, Bey Logan (additional material)","Bruce Lee, Kareem Abdul-Jabbar, Peter Archer, Sun-Man Bae","A documentary showing the life of Bruce Lee up-close.","English, Cantonese","USA, UK, Hong Kong","1 win.","https://m.media-amazon.com/images/M/MV5BMTI4MDYzMTAxNF5BMl5BanBnXkFtZTcwMTE4MjAyMQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","2,787","tt0297814","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","90%","","","","","","","","","","","",""
"115","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"116","Bear Cub","2004","R","27 Feb 2004","99 min","Comedy, Drama","Miguel Albaladejo","Miguel Albaladejo, Salvador García Ruiz","José Luis García Pérez, David Castillo, Empar Ferrer, Elvira Lindo","Pedro, a gay man with an active social life and many friends, takes in his nephew Bernardo for a couple weeks. When the arrangement becomes permanent , Pedro turns to his friends for guidance as he and Bernardo forge a household together.","Spanish, French","Spain","3 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMTc4MzA2ODE2Nl5BMl5BanBnXkFtZTcwNzc1NjgyMQ@@._V1_SX300.jpg","Internet Movie Database","7.0/10","63","7.0","3,457","tt0359045","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","77%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","63/100","","","","","","","","","","","",""
"117","Silk Stockings","1957","Approved","18 Jul 1957","117 min","Comedy, Musical, Romance","Rouben Mamoulian","Leonard Gershe (screenplay), Leonard Spigelgass (screenplay), Melchior Lengyel (suggested by ""Ninotchka"" by), George S. Kaufman (book), Leueen MacGrath (book), Abe Burrows (book)","Fred Astaire, Cyd Charisse, Janis Paige, Peter Lorre","A musical remake of Ninotchka: After three bumbling Soviet agents fail in their mission to retrieve a straying Soviet composer from Paris, the beautiful, ultra-serious Ninotchka is sent to ...","English","USA","Nominated for 2 Golden Globes. Another 3 nominations.","https://m.media-amazon.com/images/M/MV5BNWM2OGQ1YjQtMzRhNy00ZTM1LTk1OWItNTgxNTJjNTg5Y2M4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","3,437","tt0050972","movie","N/A","N/A","Metro Goldwyn Mayer","N/A","True","",""
